cap-diameter,stem-height,stem-width,date,cap-shape,cap-color,has-ring,ring-type,class
6.28,4.97,12.69,2020.04.19,x,o,f,f,e
13.69,7.73,17.59,2020.04.13,x,y,f,f,p
3.86,4.9,6.94,2020.09.18,x,p,f,f,p
1.32,5.67,1.94,2020.09.07,x,y,f,f,e
9.02,4.59,19.41,2020.08.30,f,b,t,f,e
18.91,6.68,26.7,2020.07.02,f,w,f,f,p
9.5,8.99,16.52,2020.06.18,p,n,t,l,e
17.17,7.07,23.55,2020.02.27,x,n,f,f,e
10.12,7.38,13.83,2020.05.18,s,p,t,f,p
2.16,2.79,6.43,2020.10.16,x,g,f,f,p
3.66,4.44,3.58,2020.04.17,f,p,t,e,p
3.98,6.34,3.41,2020.03.14,f,g,f,f,e
8.56,7.96,21.08,2020.07.26,s,g,f,f,e
1.37,6.4,2.04,2020.05.03,x,y,f,f,e
2.2,2.83,5.04,2020.05.27,f,o,f,f,p
4.06,6.61,3.95,2020.10.09,x,w,f,f,e
2.7,6.28,3.25,2020.10.08,s,n,f,f,e
1.45,5.37,2.8,2020.03.21,x,n,f,f,p
8.45,6.84,25.57,2020.01.20,f,w,f,f,e
5.22,7.85,9.34,2020.09.22,x,e,t,z,p
3.87,4.21,3.1,2020.08.06,f,n,f,f,p
10.48,8.95,16.62,2020.09.17,x,n,t,p,e
1.98,3.57,2.21,2020.11.03,x,l,f,f,p
7.32,8.05,13.77,2020.04.18,x,w,t,l,p
5.53,8.27,10.74,2020.05.08,x,e,t,z,p
2.84,3.28,2.51,2020.08.16,s,w,f,f,p
18.88,17.57,36.44,2020.07.25,x,o,f,f,e
4.7,4.78,6.08,2020.11.07,x,b,f,f,p
3.3,8.34,4.23,2020.04.21,x,n,f,f,p
5.2,6.71,8.06,2020.10.22,c,y,f,f,p
2.13,5.26,3.59,2020.01.01,x,b,f,f,e
5.16,5.54,12.67,2020.12.02,s,o,f,f,e
2.92,5.28,7.77,2020.02.11,x,n,t,z,p
4.1,7.91,3.8,2020.06.22,x,n,f,f,p
4.33,6.38,12.7,2020.03.18,c,y,f,f,p
7.25,5.79,14.09,2020.04.15,f,n,t,l,e
7.27,6.85,15.91,2020.04.29,x,n,f,f,p
11.67,9.94,31.0,2020.05.30,x,n,f,f,p
3.0,4.35,6.69,2020.12.09,x,o,f,f,e
4.13,5.26,6.58,2020.03.07,x,p,f,f,p
2.65,8.49,3.78,2020.07.14,s,n,f,f,e
0.81,5.39,1.16,2020.04.07,x,o,f,f,p
4.23,6.31,6.43,2020.03.01,x,l,t,e,p
5.92,6.13,6.89,2020.02.03,x,n,t,r,e
1.67,6.11,2.42,2020.10.20,p,n,t,e,p
7.72,9.46,13.83,2020.11.06,f,o,f,f,e
18.9,28.39,22.04,2020.12.18,p,n,t,m,e
3.05,3.24,5.4,2020.10.21,f,n,f,f,p
10.24,4.5,14.41,2020.12.01,f,u,f,f,e
3.59,4.62,19.71,2020.08.02,o,k,f,f,p
6.11,6.23,12.35,2020.03.08,x,y,f,f,p
2.27,5.44,2.03,2020.12.18,b,g,f,f,p
7.91,6.93,14.25,2020.08.20,x,y,t,,e
2.64,5.16,5.91,2020.10.25,x,l,f,f,e
7.81,7.12,16.64,2020.10.12,x,n,f,f,e
14.47,9.04,15.43,2020.10.20,x,n,t,,e
6.25,12.26,12.54,2020.07.08,c,n,f,f,e
3.25,5.55,6.35,2020.03.04,s,y,f,f,e
15.3,11.33,19.18,2020.05.20,p,n,t,r,e
11.16,4.01,24.81,2020.04.21,o,n,f,f,p
4.11,6.09,35.28,2020.09.25,o,w,t,f,p
14.82,10.35,18.08,2020.05.14,x,n,t,,e
2.95,3.83,2.3,2020.04.21,f,n,f,f,p
3.09,5.02,3.84,2020.05.16,f,w,t,e,p
7.72,7.39,18.07,2020.09.21,f,u,f,f,e
8.49,7.65,17.77,2020.03.22,x,n,t,p,e
6.65,8.91,15.73,2020.06.11,x,y,f,f,e
4.17,5.73,7.51,2020.05.26,f,n,f,f,e
2.37,3.82,3.54,2020.09.07,f,u,f,f,p
6.5,4.44,11.39,2020.04.24,s,r,f,f,p
9.93,7.41,21.62,2020.10.11,x,y,f,f,p
3.13,4.18,2.92,2020.12.27,f,w,f,f,p
3.8,0.0,0.0,2020.11.26,o,o,t,f,p
1.74,5.49,2.67,2020.03.04,x,n,f,f,p
3.44,11.22,2.77,2020.03.16,b,k,f,f,p
13.44,10.43,19.67,2020.10.09,x,y,t,,e
7.11,5.84,13.67,2020.06.15,p,w,t,e,e
8.72,3.72,10.04,2020.08.07,x,w,f,f,e
5.55,4.16,8.89,2020.10.16,b,g,f,f,e
8.25,5.79,8.89,2020.02.05,x,n,f,f,p
12.0,10.5,30.5,2020.10.06,x,n,f,f,p
5.7,0.0,0.0,2020.08.25,o,r,t,f,p
5.99,5.76,8.29,2020.01.06,s,n,f,f,e
10.12,6.03,15.6,2020.06.02,f,n,f,f,p
0.88,5.39,0.93,2020.07.11,x,n,f,f,e
4.98,5.5,6.12,2020.08.08,x,n,t,r,e
5.25,6.03,5.32,2020.02.27,f,y,f,f,p
8.37,11.4,15.08,2020.01.25,f,r,t,g,p
1.36,2.01,2.52,2020.06.12,x,y,f,f,p
9.89,17.46,11.81,2020.03.16,p,w,t,e,e
7.4,6.48,10.08,2020.06.18,f,y,f,f,p
10.07,8.63,22.29,2020.05.22,f,l,f,f,e
15.42,18.08,17.78,2020.02.22,f,e,t,p,p
7.26,8.66,16.73,2020.06.14,x,y,f,f,e
6.58,0.0,0.0,2020.10.10,o,w,f,f,p
8.02,8.65,8.93,2020.01.22,x,n,t,z,p
8.17,6.19,10.19,2020.04.27,f,n,f,f,e
2.62,7.78,2.44,2020.08.05,x,e,f,f,p
9.51,10.74,15.33,2020.12.07,x,n,t,g,e
0.66,3.51,0.76,2020.02.10,x,y,f,f,p
2.6,3.37,3.24,2020.08.11,c,u,f,f,p
5.8,5.59,8.12,2020.10.12,s,n,f,f,e
5.01,6.8,12.09,2020.12.05,c,y,f,f,p
6.88,6.99,14.15,2020.03.25,x,y,f,f,e
8.02,6.89,11.6,2020.11.28,f,y,f,f,p
8.12,6.54,16.34,2020.04.15,x,e,f,f,e
5.31,6.54,17.41,2020.07.18,f,e,f,f,p
4.5,5.78,5.24,2020.06.02,s,n,f,f,p
1.13,5.12,1.45,2020.04.27,c,n,f,f,e
6.8,5.32,10.21,2020.08.28,f,g,f,f,p
1.46,5.08,1.75,2020.05.22,b,n,f,f,p
4.06,0.0,0.0,2020.10.04,o,w,f,f,p
12.43,6.45,26.64,2020.10.26,s,w,f,f,e
3.14,4.55,4.63,2020.06.27,f,u,f,f,p
4.03,4.91,3.55,2020.09.22,f,w,t,e,p
8.28,6.9,17.3,2020.11.09,f,y,f,f,e
2.97,3.49,14.11,2020.08.25,o,k,f,f,p
4.33,3.94,8.71,2020.11.19,x,y,f,f,e
4.52,6.73,13.32,2020.05.02,x,n,f,f,e
8.69,10.64,14.41,2020.12.02,x,n,f,f,p
2.42,6.57,2.59,2020.03.11,x,n,f,f,p
3.9,3.2,6.34,2020.05.14,s,y,t,f,p
4.55,5.75,5.3,2020.12.17,x,n,t,r,e
8.85,9.42,20.73,2020.09.18,x,g,f,f,p
5.71,3.36,6.98,2020.10.24,s,y,f,f,p
8.29,6.55,15.02,2020.04.30,x,y,f,f,e
7.47,5.46,11.85,2020.09.03,s,r,t,f,p
3.23,6.52,3.54,2020.07.11,b,n,f,f,e
6.6,11.93,12.41,2020.08.31,b,w,t,l,p
7.41,9.27,11.14,2020.09.09,x,e,f,f,p
0.83,3.52,0.85,2020.12.19,x,y,f,f,p
19.25,7.18,39.44,2020.03.01,f,n,f,f,p
3.72,4.21,11.91,2020.02.03,x,g,f,f,p
9.34,5.35,26.89,2020.05.21,s,n,f,f,e
6.52,7.76,12.57,2020.12.05,x,n,f,f,e
7.51,4.6,14.32,2020.02.28,s,g,f,f,p
8.3,13.73,12.63,2020.05.06,b,w,t,e,p
3.51,3.7,4.83,2020.12.22,f,n,f,f,e
2.35,8.51,3.13,2020.12.07,c,y,f,f,p
3.78,4.37,6.41,2020.05.05,x,e,f,f,e
18.54,14.81,34.75,2020.03.19,x,o,f,f,e
5.05,6.55,7.81,2020.06.29,c,y,f,f,p
6.11,12.55,13.1,2020.08.11,p,g,t,z,p
12.12,5.8,14.09,2020.07.24,x,n,f,f,p
5.42,5.77,10.16,2020.10.13,x,n,f,f,e
3.24,4.89,3.68,2020.05.17,b,n,f,f,e
10.48,10.09,11.08,2020.12.05,x,n,f,f,p
13.72,19.9,18.48,2020.09.24,f,n,t,m,e
10.18,8.78,29.48,2020.02.29,x,n,f,f,p
11.49,9.0,31.22,2020.10.03,x,y,f,f,p
6.16,3.77,6.12,2020.03.07,s,y,f,f,p
7.16,8.37,13.81,2020.01.12,x,w,t,l,p
4.76,5.35,6.63,2020.03.26,x,l,f,f,e
1.33,3.14,1.79,2020.01.25,b,w,f,f,e
12.66,10.98,15.35,2020.06.04,x,n,t,g,p
4.16,5.67,6.78,2020.08.14,f,n,f,f,e
5.11,5.06,5.45,2020.02.26,f,y,f,f,p
7.22,12.01,11.08,2020.12.17,b,w,t,l,p
2.78,2.82,12.31,2020.10.29,o,k,f,f,p
3.49,7.61,3.38,2020.12.15,f,n,f,f,e
3.88,4.56,6.49,2020.12.28,s,p,f,f,e
16.14,6.78,28.97,2020.07.21,f,w,f,f,p
5.17,6.91,3.98,2020.03.13,x,w,f,f,e
1.33,4.53,2.36,2020.09.23,f,g,f,f,e
3.98,6.35,5.55,2020.03.08,f,n,f,f,e
54.84,6.26,34.84,2020.01.11,o,y,f,f,e
1.73,6.06,2.21,2020.06.30,f,n,f,f,p
7.02,14.53,13.97,2020.01.11,c,n,f,f,e
1.11,4.31,2.08,2020.10.27,f,g,f,f,e
6.14,5.15,10.18,2020.12.30,f,g,f,f,e
8.38,9.13,17.14,2020.07.29,x,n,t,p,p
15.53,9.23,16.93,2020.06.22,x,n,t,,e
6.0,5.52,6.01,2020.12.27,f,n,t,,p
13.74,9.57,29.16,2020.09.10,x,n,f,f,p
6.46,8.02,10.04,2020.11.24,x,e,t,z,p
6.54,7.31,10.51,2020.08.30,x,n,f,f,e
3.69,6.18,33.75,2020.07.08,o,w,t,f,p
6.76,4.86,12.32,2020.01.23,x,n,t,l,e
5.56,6.24,7.15,2020.06.20,c,y,f,f,p
11.86,9.78,31.21,2020.01.05,x,n,f,f,p
10.52,7.68,26.82,2020.02.27,x,n,f,f,p
9.63,7.61,9.44,2020.10.18,x,n,f,f,e
3.06,8.59,2.58,2020.05.17,b,g,f,f,p
2.86,3.48,5.74,2020.12.17,s,n,f,f,p
4.99,4.71,7.07,2020.01.06,x,o,t,z,p
5.62,5.06,10.13,2020.12.16,x,n,f,f,e
8.42,6.9,11.07,2020.08.07,f,n,f,f,p
19.68,7.64,27.54,2020.08.02,f,w,f,f,p
9.15,9.27,14.61,2020.11.28,x,w,t,l,p
9.79,9.54,18.78,2020.12.04,p,n,t,l,e
7.7,7.24,15.3,2020.10.27,x,y,t,,e
8.1,8.23,7.35,2020.02.08,x,n,t,z,p
8.69,8.03,22.16,2020.06.08,f,n,f,f,e
2.91,3.86,6.54,2020.02.02,s,u,f,f,p
5.08,6.29,40.77,2020.08.20,o,n,f,f,e
6.68,5.88,15.46,2020.02.27,x,r,f,f,p
7.99,7.35,15.8,2020.07.09,x,y,f,f,e
3.36,5.11,6.29,2020.06.22,f,y,f,f,p
3.83,4.34,6.01,2020.06.01,x,n,t,z,p
7.45,8.02,12.27,2020.04.15,f,n,f,f,e
8.51,6.61,14.31,2020.09.23,x,g,f,f,e
4.18,3.25,6.05,2020.08.12,s,n,t,f,p
8.45,6.01,28.59,2020.05.07,x,w,f,f,e
1.24,3.11,5.14,2020.06.02,x,y,f,f,p
2.96,3.98,2.92,2020.09.05,b,w,f,f,e
3.66,7.4,8.37,2020.03.09,s,n,f,f,e
6.96,6.58,11.67,2020.12.29,x,n,f,f,p
5.06,6.44,8.56,2020.12.01,x,w,f,f,e
7.38,6.77,17.98,2020.10.29,f,u,f,f,p
5.24,6.27,11.5,2020.04.15,c,y,f,f,p
6.62,12.41,13.29,2020.05.18,b,w,t,e,p
5.77,4.72,18.55,2020.06.23,o,g,f,f,e
1.22,4.24,1.31,2020.03.28,b,n,f,f,p
3.69,4.69,2.91,2020.08.01,f,g,f,f,e
5.61,3.05,5.16,2020.12.12,f,n,t,f,p
4.9,4.72,9.05,2020.12.01,f,g,f,f,p
7.44,11.07,24.96,2020.05.26,x,g,f,f,e
7.47,6.85,15.23,2020.04.18,x,y,t,,e
9.01,9.43,20.29,2020.05.19,x,u,f,f,p
5.47,5.31,13.22,2020.10.04,x,g,f,f,p
7.41,6.59,18.73,2020.12.20,x,e,f,f,e
5.13,3.78,6.05,2020.12.26,f,y,t,f,p
1.47,3.89,1.5,2020.09.17,o,n,f,f,p
0.7,3.92,0.96,2020.06.07,x,e,f,f,p
6.54,10.56,23.81,2020.09.04,x,g,f,f,e
3.41,4.01,16.46,2020.05.22,o,k,f,f,p
17.96,5.41,38.9,2020.01.19,x,n,f,f,p
10.85,8.14,19.03,2020.06.01,f,n,f,f,e
8.63,6.52,12.13,2020.11.04,x,b,f,f,e
6.5,5.23,7.73,2020.04.30,s,n,f,f,e
3.37,7.05,4.7,2020.01.05,x,b,f,f,e
7.02,6.85,9.76,2020.04.14,s,e,f,f,p
1.97,7.97,2.92,2020.06.09,f,y,f,f,p
6.84,5.44,7.91,2020.10.29,x,n,f,f,p
5.64,6.7,7.3,2020.06.11,b,e,f,f,p
6.81,15.02,8.73,2020.08.19,x,e,f,f,p
5.06,4.23,8.75,2020.12.15,x,n,f,f,e
2.35,2.97,6.11,2020.03.02,x,w,f,f,p
10.75,11.57,20.8,2020.11.04,x,y,t,r,p
10.8,5.35,19.7,2020.04.24,f,b,t,f,e
1.24,3.08,5.15,2020.01.06,f,y,f,f,p
4.8,6.08,4.49,2020.06.26,x,n,f,f,e
8.67,3.81,21.86,2020.09.19,s,n,f,f,e
9.09,4.89,14.8,2020.11.01,s,r,f,f,p
4.14,5.49,17.67,2020.05.19,c,g,f,f,e
4.12,5.86,11.75,2020.09.03,x,n,f,f,e
8.74,8.71,10.29,2020.02.09,x,n,f,f,e
3.08,5.24,6.39,2020.11.21,x,n,f,f,e
3.7,4.07,6.71,2020.06.03,x,o,f,f,p
2.86,7.14,7.71,2020.12.17,s,y,f,f,e
8.66,13.62,17.62,2020.10.08,p,n,f,f,p
3.68,6.24,4.54,2020.11.10,b,n,f,f,p
1.76,4.76,2.53,2020.08.29,x,n,f,f,e
51.78,10.17,53.75,2020.10.31,o,y,f,f,e
10.7,18.36,12.86,2020.12.22,p,w,t,e,e
4.52,5.75,6.14,2020.11.29,s,u,f,f,p
3.9,5.78,6.08,2020.11.26,x,y,f,f,p
6.99,5.68,12.82,2020.12.14,s,o,f,f,e
3.26,2.97,7.98,2020.08.06,f,g,f,f,p
18.4,6.57,24.96,2020.04.29,s,k,f,f,e
1.86,5.59,2.83,2020.11.13,x,n,f,f,p
11.26,7.66,27.17,2020.07.05,x,n,f,f,p
19.26,7.39,30.02,2020.12.03,s,w,f,f,p
3.24,3.42,5.84,2020.10.28,f,n,f,f,p
3.18,4.84,4.97,2020.09.21,b,p,f,f,p
17.87,6.73,28.76,2020.09.18,f,w,f,f,p
0.96,3.06,1.37,2020.01.30,x,w,f,f,p
9.61,9.83,21.42,2020.04.10,x,g,f,f,p
4.74,5.9,12.37,2020.11.07,x,n,f,f,e
0.82,3.88,0.98,2020.08.01,x,o,f,f,p
6.71,7.4,12.37,2020.08.03,x,w,t,l,p
14.13,5.22,26.98,2020.01.29,x,n,f,f,p
16.01,17.59,38.02,2020.06.30,x,o,f,f,e
12.05,5.08,25.16,2020.11.19,s,n,f,f,p
3.58,4.3,10.62,2020.02.11,x,n,f,f,e
0.72,4.43,1.1,2020.04.11,x,n,f,f,p
0.89,3.36,2.46,2020.08.09,b,y,t,f,p
7.69,4.42,14.81,2020.11.14,x,k,f,f,e
8.5,7.71,13.28,2020.10.08,x,w,t,l,p
9.0,6.96,10.5,2020.03.19,x,n,f,f,e
6.55,7.46,15.88,2020.11.03,x,y,f,f,e
9.26,2.21,11.66,2020.07.03,f,l,f,f,e
3.55,3.96,6.7,2020.08.01,x,o,t,z,p
8.02,10.3,15.23,2020.07.19,f,n,t,g,e
4.52,5.78,7.01,2020.09.07,x,o,f,f,p
13.7,6.74,24.84,2020.06.30,x,n,f,f,p
2.96,8.65,2.72,2020.12.23,b,g,f,f,p
15.18,14.4,32.61,2020.12.11,p,o,f,f,e
3.64,6.63,5.76,2020.05.19,b,n,t,,p
7.34,4.06,10.28,2020.03.04,x,p,f,f,p
3.46,4.67,11.34,2020.06.21,x,o,f,f,e
10.8,4.87,19.47,2020.02.13,f,b,t,f,e
10.84,3.48,24.49,2020.08.25,o,e,f,f,p
2.69,9.47,2.41,2020.10.12,b,k,f,f,p
5.24,6.66,51.28,2020.04.17,o,n,f,f,e
0.55,3.27,0.75,2020.09.07,x,o,f,f,p
6.59,5.16,15.05,2020.06.29,x,n,f,f,p
1.73,5.53,2.61,2020.12.30,x,n,f,f,p
7.81,9.42,12.92,2020.12.08,x,n,t,,p
11.27,8.85,25.69,2020.01.15,f,e,t,e,e
9.28,8.88,16.96,2020.12.13,x,n,t,l,e
1.36,3.36,1.33,2020.04.25,x,n,f,f,p
5.5,5.35,13.54,2020.12.15,f,y,f,f,e
7.59,4.45,15.67,2020.09.22,x,u,f,f,e
7.57,7.35,6.14,2020.01.25,x,n,t,l,e
6.15,5.68,17.06,2020.09.02,f,e,f,f,e
6.37,5.37,9.72,2020.05.27,f,n,f,f,e
3.11,8.17,3.95,2020.01.10,f,w,f,f,p
2.52,4.2,2.63,2020.10.19,b,w,f,f,e
6.37,6.17,12.73,2020.05.29,x,o,f,f,e
4.06,5.98,4.57,2020.10.13,b,n,f,f,p
10.26,6.76,19.78,2020.10.26,x,n,f,f,p
4.43,6.11,3.8,2020.02.29,f,n,f,f,e
8.43,8.17,18.69,2020.11.20,x,n,t,p,e
4.62,5.62,5.5,2020.11.20,f,o,f,f,e
18.5,16.9,32.62,2020.12.04,p,e,f,f,e
0.99,5.54,0.95,2020.09.13,x,e,f,f,e
4.11,5.14,6.39,2020.07.26,s,g,f,f,e
3.07,3.25,2.56,2020.10.12,s,w,f,f,p
6.59,5.97,13.54,2020.01.11,p,w,t,e,e
6.48,5.49,6.96,2020.10.16,x,n,t,,p
6.11,8.53,11.18,2020.04.06,x,e,t,z,p
3.76,5.21,3.32,2020.09.30,x,n,t,r,p
4.69,4.43,18.45,2020.12.13,c,n,f,f,e
1.66,5.29,2.53,2020.08.16,x,n,f,f,p
3.17,6.83,4.71,2020.02.20,x,b,f,f,e
7.71,6.98,9.84,2020.11.17,x,n,f,f,e
2.56,3.04,14.53,2020.12.24,o,g,f,f,p
0.64,3.33,0.62,2020.02.14,x,o,f,f,p
4.4,6.44,7.78,2020.11.23,x,r,t,e,p
4.94,6.29,5.35,2020.12.06,f,e,f,f,p
5.06,4.48,7.55,2020.12.20,f,n,f,f,e
1.27,4.68,2.39,2020.03.23,b,y,f,f,p
3.24,5.13,7.69,2020.12.19,x,n,t,z,p
7.77,7.35,13.1,2020.10.14,f,r,f,f,p
2.51,7.16,3.69,2020.02.20,b,n,f,f,p
6.59,5.22,11.25,2020.08.05,f,g,f,f,e
3.7,4.59,7.72,2020.09.28,s,u,f,f,p
5.94,5.09,6.25,2020.11.29,x,n,t,,p
3.62,5.58,6.88,2020.10.27,f,n,f,f,e
12.07,4.97,24.16,2020.11.09,s,r,f,f,p
11.1,9.86,29.82,2020.03.26,x,n,f,f,p
4.94,4.37,7.49,2020.04.15,s,n,f,f,e
9.61,8.94,16.78,2020.05.23,p,n,t,l,e
4.13,6.43,8.5,2020.09.01,x,n,f,f,e
18.66,16.07,65.6,2020.10.01,p,n,f,f,e
20.15,16.26,35.99,2020.01.09,x,o,f,f,e
17.59,5.17,28.36,2020.11.03,f,g,f,f,p
8.04,8.11,15.45,2020.09.11,x,y,t,,e
2.94,4.07,5.31,2020.05.13,f,u,f,f,e
0.75,3.87,0.88,2020.09.10,x,n,f,f,p
0.97,3.32,1.62,2020.11.13,x,w,f,f,p
16.48,6.18,22.01,2020.02.26,s,k,f,f,e
6.56,5.0,13.2,2020.04.29,f,n,t,r,e
4.88,6.87,8.02,2020.12.10,c,y,f,f,p
12.35,2.56,16.46,2020.08.06,f,g,f,f,e
3.89,9.12,6.23,2020.04.08,b,n,t,,p
6.68,4.25,11.19,2020.01.05,s,y,t,f,p
5.17,5.38,5.28,2020.01.10,s,e,f,f,p
0.75,3.64,0.84,2020.02.25,x,y,f,f,p
50.06,7.33,43.83,2020.04.29,o,y,f,f,e
4.04,6.28,4.17,2020.06.10,x,y,f,f,e
5.69,4.16,14.48,2020.07.31,x,k,f,f,e
17.84,6.23,37.54,2020.07.28,f,n,f,f,p
5.73,4.86,18.36,2020.08.29,p,n,f,f,e
3.19,3.74,8.62,2020.09.27,s,w,f,f,p
6.66,8.62,11.08,2020.04.22,x,e,t,z,p
6.27,14.71,7.56,2020.01.25,f,e,f,f,p
2.95,5.31,4.31,2020.12.24,b,n,f,f,p
5.03,11.18,11.02,2020.01.22,c,n,f,f,e
7.66,8.55,14.98,2020.04.28,x,n,t,p,p
12.86,10.76,14.26,2020.12.17,f,g,t,g,p
1.65,4.78,2.45,2020.08.20,f,n,f,f,e
4.64,5.72,10.96,2020.09.17,x,n,f,f,e
3.29,7.43,3.41,2020.06.15,b,n,f,f,e
10.41,2.45,14.17,2020.03.14,f,b,f,f,e
7.5,4.59,10.26,2020.11.19,x,p,f,f,p
9.17,10.48,15.62,2020.05.05,x,n,t,g,e
8.78,4.56,23.98,2020.08.03,s,n,f,f,p
10.15,7.79,21.46,2020.12.22,s,n,f,f,e
8.05,7.72,20.04,2020.06.18,x,y,f,f,e
2.78,7.52,2.56,2020.10.10,x,e,f,f,p
7.85,8.78,13.52,2020.06.27,x,n,f,f,e
3.33,4.41,2.45,2020.01.01,x,w,f,f,p
4.74,5.42,5.88,2020.10.24,c,y,f,f,p
1.1,2.73,1.44,2020.03.08,p,g,f,f,e
21.53,18.06,79.95,2020.10.29,p,n,f,f,e
6.9,2.82,18.36,2020.10.12,s,n,f,f,e
4.37,5.69,51.23,2020.01.21,o,n,f,f,e
2.97,6.08,2.84,2020.05.18,b,n,f,f,e
5.91,4.56,7.15,2020.04.03,s,n,f,f,e
7.98,9.01,8.74,2020.11.15,x,y,t,z,p
7.54,10.34,23.86,2020.04.01,x,g,f,f,e
50.17,7.66,50.4,2020.09.13,o,y,f,f,e
0.86,5.14,0.88,2020.10.19,f,n,f,f,e
7.58,9.01,13.7,2020.10.17,x,n,f,f,p
3.49,8.01,3.75,2020.10.06,x,w,f,f,p
0.78,3.72,0.75,2020.09.20,x,o,f,f,p
7.79,10.86,14.44,2020.05.01,x,n,f,f,p
2.69,3.5,5.05,2020.03.28,x,o,f,f,p
8.35,12.43,25.04,2020.04.13,x,g,f,f,e
6.37,8.28,10.27,2020.11.13,x,e,t,z,p
5.78,5.36,5.41,2020.01.11,x,n,t,r,e
5.54,4.76,14.47,2020.03.17,f,e,f,f,e
7.15,8.88,13.08,2020.02.28,f,o,f,f,e
1.55,6.22,2.41,2020.01.28,p,n,t,e,p
2.68,3.36,2.38,2020.11.08,x,n,f,f,p
8.88,7.4,19.27,2020.11.29,x,y,f,f,e
